id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
175,Palindrome Checker (Recursive),"Given a string, determine if it is a palindrome using recursion. A palindrome is a string that reads the same forwards and backward. Return 1 if the string is a palindrome, and 0 otherwise. Ignore case and non-alphanumeric characters.",Easy,2025-03-16T16:58:33.164615+00:00,2025-03-16T16:58:33.164615+00:00,"[{""input"": {""s"": ""Racecar""}, ""output"": 1}, {""input"": {""s"": ""A man, a plan, a canal: Panama""}, ""output"": 1}]","[""s consists of printable ASCII characters."", ""1 \u2264 s.length \u2264 10^5""]","[{""input"": {""s"": ""Racecar""}, ""expected_output"": 1}, {""input"": {""s"": ""A man, a plan, a canal: Panama""}, ""expected_output"": 1}, {""input"": {""s"": ""hello""}, ""expected_output"": 0}, {""input"": {""s"": ""Was it a car or a cat I saw?""}, ""expected_output"": 1}, {""input"": {""s"": ""Not a palindrome""}, ""expected_output"": 0}]"
178,Regex Phone Number Validation,"Given a string, determine if it represents a valid phone number according to the following format: (XXX) XXX-XXXX, where X is a digit. Return 1 if the string is a valid phone number, otherwise return 0.",Medium,2025-03-16T16:59:39.491223+00:00,2025-03-16T16:59:39.491223+00:00,"[{""input"": {""phone_number"": ""(123) 456-7890""}, ""output"": 1}, {""input"": {""phone_number"": ""123-456-7890""}, ""output"": 0}]","[""The length of the input string is between 0 and 100."", ""The input string can contain any characters.""]","[{""input"": {""phone_number"": ""(123) 456-7890""}, ""expected_output"": 1}, {""input"": {""phone_number"": ""123-456-7890""}, ""expected_output"": 0}, {""input"": {""phone_number"": ""(123)456-7890""}, ""expected_output"": 0}, {""input"": {""phone_number"": ""(1a3) 456-7890""}, ""expected_output"": 0}, {""input"": {""phone_number"": ""(999) 999-9999""}, ""expected_output"": 1}, {""input"": {""phone_number"": ""(123) 456-789""}, ""expected_output"": 0}, {""input"": {""phone_number"": ""1111111111""}, ""expected_output"": 0}]"
180,BST Contains Value,"Given the root of a binary search tree (BST) and an integer value, determine if the BST contains the value. Return 1 if the value exists in the BST, otherwise return 0.",Easy,2025-03-16T17:00:12.130172+00:00,2025-03-16T17:00:12.130172+00:00,"[{""input"": {""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""value"": 3}, ""output"": 1}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""value"": 6}, ""output"": 0}]","[""-1000 <= value <= 1000"", ""-1000 <= Node.val <= 1000"", ""The number of nodes in the tree is in the range [1, 100].""]","[{""input"": {""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""value"": 3}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""value"": 6}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}, ""value"": 15}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}, ""value"": 1}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 10, ""left"": null, ""right"": null}, ""value"": 10}, ""expected_output"": 1}]"
192,Range Sum Query - Update a Single Element,"Given an array of integers nums, implement a data structure that supports the following operations:

1.  `update(index, val)`: Updates the element at index `index` to `val`.
2.  `sumRange(left, right)`: Returns the sum of the elements in the range `[left, right]` inclusive.

You are required to use a Binary Indexed Tree (Fenwick Tree) to efficiently implement these operations. For this problem, you only need to implement the update operation and a helper function to calculate the prefix sum. Return 1 if the update was successful, otherwise return 0 (if index is out of bounds).",Easy,2025-03-16T17:04:53.229981+00:00,2025-03-16T17:04:53.229981+00:00,"[{""input"": {""val"": 10, ""nums"": [1, 2, 3, 4, 5], ""index"": 2}, ""output"": 1}, {""input"": {""val"": 0, ""nums"": [5, 4, 3, 2, 1], ""index"": 0}, ""output"": 1}]","[""-10^5 <= val <= 10^5"", ""0 <= index < nums.length"", ""-10^5 <= nums[i] <= 10^5"", ""1 <= nums.length <= 10^4""]","[{""input"": {""val"": 10, ""nums"": [1, 2, 3, 4, 5], ""index"": 2}, ""expected_output"": 1}, {""input"": {""val"": 0, ""nums"": [5, 4, 3, 2, 1], ""index"": 0}, ""expected_output"": 1}, {""input"": {""val"": -5, ""nums"": [1, 2, 3, 4, 5], ""index"": 4}, ""expected_output"": 1}, {""input"": {""val"": 25, ""nums"": [10, 20, 30], ""index"": 1}, ""expected_output"": 1}, {""input"": {""val"": 100, ""nums"": [1], ""index"": 0}, ""expected_output"": 1}]"
199,Array Partitioning,"Given an array of integers, determine if it is possible to partition the array into two subarrays such that the sum of elements in both subarrays is equal. Return 1 if it is possible, otherwise return 0.",Medium,2025-03-16T17:06:36.403412+00:00,2025-03-16T17:06:36.403412+00:00,"[{""input"": {""nums"": [1, 5, 11, 5]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 5]}, ""output"": 0}]","[""1 \u2264 nums[i] \u2264 10^3"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [1, 5, 11, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 5]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 0]}, ""expected_output"": 1}, {""input"": {""nums"": [2, 2, 2, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [10, 4, 6, 3, 7, 9, 2]}, ""expected_output"": 1}]"
201,AVL Tree Height Balance,"Given the root of a binary tree, determine if it is an AVL tree. An AVL tree is a self-balancing binary search tree in which the heights of the two child subtrees of any node differ by at most one; if at any time they differ by more than one, rebalancing is done to restore this property. Return 1 if the tree is an AVL tree, and 0 otherwise.",Medium,2025-03-16T17:08:27.469656+00:00,2025-03-16T17:08:27.469656+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 3, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": null}, ""right"": null}}, ""output"": 0}]","[""-10^4 <= Node.val <= 10^4"", ""The number of nodes in the tree is in the range [0, 10^4].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 3, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": null}, ""right"": null}}, ""expected_output"": 0}, {""input"": {""root"": null}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}, ""expected_output"": 1}]"
202,Red-Black Tree Contains,"Given a sorted array of integers representing the keys to be inserted into a Red-Black Tree and a target integer, return 1 if the target integer exists in the Red-Black Tree after inserting all keys, otherwise return 0. Assume insertion is done in the order of the array.",Easy,2025-03-16T17:08:46.807295+00:00,2025-03-16T17:08:46.807295+00:00,"[{""input"": {""keys"": [10, 20, 30, 40, 50], ""target"": 30}, ""output"": 1}, {""input"": {""keys"": [5, 10, 15, 20, 25], ""target"": 12}, ""output"": 0}]","[""keys is sorted in ascending order"", ""-1000 \u2264 target \u2264 1000"", ""-1000 \u2264 keys[i] \u2264 1000"", ""1 \u2264 keys.length \u2264 100""]","[{""input"": {""keys"": [10, 20, 30, 40, 50], ""target"": 30}, ""expected_output"": 1}, {""input"": {""keys"": [5, 10, 15, 20, 25], ""target"": 12}, ""expected_output"": 0}, {""input"": {""keys"": [1, 2, 3, 4, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""keys"": [2, 4, 6, 8, 10], ""target"": 7}, ""expected_output"": 0}, {""input"": {""keys"": [100], ""target"": 100}, ""expected_output"": 1}]"
203,Range Sum Query with Updates,"You are given an integer array nums. You need to implement two functions:

1. update(i, val): Updates the element at index i to val.
2. sumRange(i, j): Returns the sum of elements nums[i] through nums[j] (i ≤ j) inclusive.

Return 1 if the updates and sumRange operations are performed correctly according to a given sequence of operations and expected results, otherwise return 0. For simplicity, you will be given the initial array nums, a list of update operations (index and value), a list of sumRange queries (start and end indices), and a list of expected sum results. Assume the operations are performed in the order they are given.",Medium,2025-03-16T17:09:01.618227+00:00,2025-03-16T17:09:01.618227+00:00,"[{""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[1, 2]], ""expected_sums"": [8]}, ""output"": 1}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2], [1, 2]], ""updates"": [[0, 10]], ""expected_sums"": [18, 8]}, ""output"": 1}]","[""Number of queries <= 10^3"", ""Number of updates <= 10^3"", ""0 <= i <= j < nums.length"", ""-1000 <= nums[i] <= 1000"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[1, 2]], ""expected_sums"": [8]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2], [1, 2]], ""updates"": [[0, 10]], ""expected_sums"": [18, 8]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[1, 2]], ""expected_sums"": [9]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[0, 10], [2, 1]], ""expected_sums"": [14]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[1, 3], [2, 4]], ""updates"": [[0, 3], [4, 1]], ""expected_sums"": [9, 8]}, ""expected_output"": 1}]"
209,Word Search,"Given an m x n grid of characters board and a string word, return 1 if word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.",Medium,2025-03-16T17:11:08.445528+00:00,2025-03-16T17:11:08.445528+00:00,"[{""input"": {""word"": ""ABCCED"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""output"": 1}, {""input"": {""word"": ""SEE"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""output"": 1}]","[""board[i][j] and word consist of only uppercase and lowercase English letters."", ""1 <= word.length <= 15"", ""1 <= m, n <= 6"", ""n == board[i].length"", ""m == board.length""]","[{""input"": {""word"": ""ABCCED"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""expected_output"": 1}, {""input"": {""word"": ""SEE"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""expected_output"": 1}, {""input"": {""word"": ""ABCB"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""expected_output"": 0}, {""input"": {""word"": ""a"", ""board"": [[""a""]]}, ""expected_output"": 1}, {""input"": {""word"": ""aaa"", ""board"": [[""a"", ""a""]]}, ""expected_output"": 0}]"
210,Maximum Width Ramp in Binary Tree,"Given the root of a binary tree, find the maximum width ramp. A ramp is defined as a pair (i, j) where i < j, and node values at depth i and depth j are equal (root is depth 0). The width of a ramp (i, j) is j - i. Return the maximum width of a ramp in the tree. If no ramp exists, return 0.",Hard,2025-03-16T17:11:22.469301+00:00,2025-03-16T17:11:22.469301+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}}, ""output"": 2}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 0}]","[""0 <= Node.val <= 3000"", ""The number of nodes in the tree is in the range [1, 3000].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 2}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": {""val"": 1, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 7, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}, ""expected_output"": 1}]"
211,Shortest Path in a Binary Matrix,"Given an n x n binary matrix grid, return the length of the shortest path from top-left (0, 0) to bottom-right (n - 1, n - 1). If no such path exists, return 0. The path can only move to cells that contain 0. The path can move in 8 directions (horizontally, vertically, and diagonally).",Medium,2025-03-16T17:12:46.669738+00:00,2025-03-16T17:12:46.669738+00:00,"[{""input"": {""grid"": [[0, 1], [1, 0]]}, ""output"": 0}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""output"": 0}]","[""grid[i][j] is 0 or 1."", ""1 <= n <= 100"", ""n == grid[i].length"", ""n == grid.length""]","[{""input"": {""grid"": [[0, 1], [1, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 0, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0], [0, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[1, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""expected_output"": 0}]"
215,Array Contains Duplicate,"Given an integer array nums, return 1 if any value appears at least twice in the array, and return 0 if every element is distinct.",Easy,2025-03-16T17:13:49.132848+00:00,2025-03-16T17:13:49.132848+00:00,"[{""input"": {""nums"": [1, 2, 3, 1]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""output"": 0}]","[""-10^9 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 2, 3, 1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 1, 1, 3, 3, 4, 3, 2, 4, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}]"
226,Check if a number is a power of 2,"Given an integer n, determine if it is a power of two. Return 1 if it is, and 0 otherwise.",Easy,2025-03-16T17:18:18.873367+00:00,2025-03-16T17:18:18.873367+00:00,"[{""input"": {""n"": 1}, ""output"": 1}, {""input"": {""n"": 16}, ""output"": 1}, {""input"": {""n"": 3}, ""output"": 0}]","[""-2^31 <= n <= 2^31 - 1""]","[{""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 16}, ""expected_output"": 1}, {""input"": {""n"": 3}, ""expected_output"": 0}, {""input"": {""n"": 0}, ""expected_output"": 0}, {""input"": {""n"": 1024}, ""expected_output"": 1}, {""input"": {""n"": -16}, ""expected_output"": 0}]"
232,Kth Largest Element,"Given an array of integers `nums` and an integer `k`, return 1 if the kth largest element is greater than 0, otherwise return 0. Assume k is always valid: 1 <= k <= array's length.",Easy,2025-03-16T17:21:59.727976+00:00,2025-03-16T17:21:59.727976+00:00,"[{""input"": {""k"": 2, ""nums"": [3, 2, 1, 5, 6, 4]}, ""output"": 1}, {""input"": {""k"": 4, ""nums"": [3, 2, 3, 1, 2, 4, 5, 5, 6]}, ""output"": 1}]","[""-10^4 <= nums[i] <= 10^4"", ""1 <= k <= nums.length <= 10^5""]","[{""input"": {""k"": 2, ""nums"": [3, 2, 1, 5, 6, 4]}, ""expected_output"": 1}, {""input"": {""k"": 4, ""nums"": [3, 2, 3, 1, 2, 4, 5, 5, 6]}, ""expected_output"": 1}, {""input"": {""k"": 1, ""nums"": [-1, -2, -3, -4, -5]}, ""expected_output"": 0}, {""input"": {""k"": 2, ""nums"": [0, 0, 0, 0]}, ""expected_output"": 0}, {""input"": {""k"": 5, ""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}]"
233,AVL Tree Contains Value,"Given an AVL tree and an integer, determine if the AVL tree contains the integer. Return 1 if the value exists, otherwise return 0. Assume the AVL tree is already properly balanced.",Easy,2025-03-16T17:22:14.151741+00:00,2025-03-16T17:22:14.151741+00:00,"[{""input"": {""target"": 8, ""avl_tree"": {""root"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 8, ""left"": null, ""right"": null}}}}, ""output"": 1}, {""input"": {""target"": 9, ""avl_tree"": {""root"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 8, ""left"": null, ""right"": null}}}}, ""output"": 0}]","[""-1000 <= target <= 1000"", ""-1000 <= node.val <= 1000"", ""The number of nodes in the tree is between 0 and 1000."", ""Node values are integers."", ""The AVL tree is a valid, balanced AVL tree.""]","[{""input"": {""target"": 8, ""avl_tree"": {""root"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 8, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""target"": 9, ""avl_tree"": {""root"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 8, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""target"": 5, ""avl_tree"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""target"": 12, ""avl_tree"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""target"": 5, ""avl_tree"": {""root"": null}}, ""expected_output"": 0}]"
234,Check for Duplicates,"Given an array of integers, determine if the array contains any duplicates. Return 1 if any value appears at least twice in the array, and return 0 if every element is distinct.",Easy,2025-03-16T17:23:03.924799+00:00,2025-03-16T17:23:03.924799+00:00,"[{""input"": {""nums"": [1, 2, 3, 1]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""output"": 0}]","[""-10^9 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 2, 3, 1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 1, 1, 3, 3, 4, 3, 2, 4, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3]}, ""expected_output"": 0}, {""input"": {""nums"": [1]}, ""expected_output"": 0}]"
235,Maximum XOR Sum of Subarray,"Given an array of non-negative integers, find the maximum XOR sum of any contiguous subarray. Return the maximum XOR sum.",Hard,2025-03-16T17:23:15.988146+00:00,2025-03-16T17:23:15.988146+00:00,"[{""input"": {""nums"": [1, 4, 3]}, ""output"": 7}, {""input"": {""nums"": [8, 1, 2, 12]}, ""output"": 15}]","[""0 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 4, 3]}, ""expected_output"": 7}, {""input"": {""nums"": [8, 1, 2, 12]}, ""expected_output"": 15}, {""input"": {""nums"": [4, 6, 7]}, ""expected_output"": 7}, {""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 7}, {""input"": {""nums"": [10, 5, 2, 7, 1, 8]}, ""expected_output"": 15}]"
240,Path Existence with Limited Cost,"Given a directed graph represented by a list of edges, determine if there exists a path from a starting node 'start' to a destination node 'end' with a total cost less than or equal to 'max_cost'. The graph is represented as a list of tuples, where each tuple (u, v, cost) represents a directed edge from node u to node v with the given cost. Return 1 if such a path exists, and 0 otherwise.",Medium,2025-03-16T17:27:11.330397+00:00,2025-03-16T17:27:11.330397+00:00,"[{""input"": {""end"": 3, ""edges"": [[0, 1, 2], [0, 2, 5], [1, 2, 1], [2, 3, 3]], ""start"": 0, ""max_cost"": 7}, ""output"": 1}, {""input"": {""end"": 3, ""edges"": [[0, 1, 2], [0, 2, 5], [1, 2, 1], [2, 3, 3]], ""start"": 0, ""max_cost"": 5}, ""output"": 0}]","[""0 \u2264 max_cost \u2264 1000"", ""1 \u2264 edge cost \u2264 100"", ""0 \u2264 node values < number of nodes"", ""1 \u2264 number of edges \u2264 500"", ""1 \u2264 number of nodes \u2264 100""]","[{""input"": {""end"": 3, ""edges"": [[0, 1, 2], [0, 2, 5], [1, 2, 1], [2, 3, 3]], ""start"": 0, ""max_cost"": 7}, ""expected_output"": 1}, {""input"": {""end"": 3, ""edges"": [[0, 1, 2], [0, 2, 5], [1, 2, 1], [2, 3, 3]], ""start"": 0, ""max_cost"": 5}, ""expected_output"": 0}, {""input"": {""end"": 3, ""edges"": [[0, 1, 10], [1, 2, 5], [2, 3, 2]], ""start"": 0, ""max_cost"": 17}, ""expected_output"": 1}, {""input"": {""end"": 3, ""edges"": [[0, 1, 10], [1, 2, 5], [2, 3, 2]], ""start"": 0, ""max_cost"": 16}, ""expected_output"": 0}, {""input"": {""end"": 3, ""edges"": [[0, 1, 1], [0, 2, 2], [1, 3, 3], [2, 3, 4]], ""start"": 0, ""max_cost"": 6}, ""expected_output"": 1}]"
243,Edge in Minimum Spanning Tree,"Given a graph represented by a list of edges, and a specific edge (u, v), determine if that edge is part of *any* Minimum Spanning Tree (MST) of the graph. Assume the graph is connected. Return 1 if the edge (u, v) is part of some MST, and 0 otherwise.",Easy,2025-03-16T17:28:00.136975+00:00,2025-03-16T17:28:00.136975+00:00,"[{""input"": {""edges"": [[0, 1, 1], [1, 2, 2], [0, 2, 3]], ""num_nodes"": 3, ""target_edge"": [0, 1]}, ""output"": 1}, {""input"": {""edges"": [[0, 1, 5], [1, 2, 5], [2, 3, 5], [0, 3, 10]], ""num_nodes"": 4, ""target_edge"": [0, 3]}, ""output"": 0}]","[""The graph is connected."", ""1 \u2264 weight \u2264 1000"", ""0 \u2264 u, v < num_nodes"", ""1 \u2264 number of edges \u2264 num_nodes * (num_nodes - 1) / 2"", ""2 \u2264 num_nodes \u2264 100""]","[{""input"": {""edges"": [[0, 1, 1], [1, 2, 2], [0, 2, 3]], ""num_nodes"": 3, ""target_edge"": [0, 1]}, ""expected_output"": 1}, {""input"": {""edges"": [[0, 1, 5], [1, 2, 5], [2, 3, 5], [0, 3, 10]], ""num_nodes"": 4, ""target_edge"": [0, 3]}, ""expected_output"": 0}, {""input"": {""edges"": [[0, 1, 1], [1, 2, 2], [2, 3, 3], [3, 4, 4], [0, 4, 5]], ""num_nodes"": 5, ""target_edge"": [0, 4]}, ""expected_output"": 0}, {""input"": {""edges"": [[0, 1, 1], [1, 2, 1], [2, 3, 1], [0, 3, 5]], ""num_nodes"": 4, ""target_edge"": [0, 3]}, ""expected_output"": 0}, {""input"": {""edges"": [[0, 1, 1], [1, 2, 1], [2, 3, 1], [0, 3, 1]], ""num_nodes"": 4, ""target_edge"": [0, 1]}, ""expected_output"": 1}]"
250,Path Existence in a Directed Graph,"Given a directed graph represented by an adjacency list and two nodes, start and end, determine if a path exists from the start node to the end node. Return 1 if a path exists, otherwise return 0.",Medium,2025-03-16T17:31:00.638313+00:00,2025-03-16T17:31:00.638313+00:00,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [3], ""3"": []}, ""start"": 3}, ""output"": 0}]","[""0 <= Node values <= Number of nodes - 1"", ""1 <= Number of nodes <= 100""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [3], ""3"": []}, ""start"": 3}, ""expected_output"": 0}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [], ""2"": [3], ""3"": []}, ""start"": 0}, ""expected_output"": 0}, {""input"": {""end"": 2, ""graph"": {""0"": [1, 2], ""1"": [3], ""2"": [3], ""3"": []}, ""start"": 1}, ""expected_output"": 0}]"
258,Modular Exponentiation,"Given three integers, a, b, and n, compute a^b mod n efficiently. Return the result as an integer.",Hard,2025-03-16T17:34:38.609754+00:00,2025-03-16T17:34:38.609754+00:00,"[{""input"": {""a"": 2, ""b"": 10, ""n"": 1000}, ""output"": 24}, {""input"": {""a"": 3, ""b"": 5, ""n"": 7}, ""output"": 5}]","[""1 <= n <= 10^9"", ""0 <= b <= 10^9"", ""1 <= a <= 10^9""]","[{""input"": {""a"": 2, ""b"": 10, ""n"": 1000}, ""expected_output"": 24}, {""input"": {""a"": 3, ""b"": 5, ""n"": 7}, ""expected_output"": 5}, {""input"": {""a"": 5, ""b"": 0, ""n"": 10}, ""expected_output"": 1}, {""input"": {""a"": 10, ""b"": 5, ""n"": 100}, ""expected_output"": 0}, {""input"": {""a"": 12345, ""b"": 67890, ""n"": 98765}, ""expected_output"": 39320}]"
